id,kind,category,name,harness,canonical_path,line_count,asset_count,assets,description
hook:hooks/block-branch-for-epic-child,hook,hooks,block-branch-for-epic-child.sh,The-Claude-Protocol,.claude/hooks/block-branch-for-epic-child.sh,68,0,,
hook:templates/hooks/block-orchestrator-tools,hook,hooks,block-orchestrator-tools.sh,The-Claude-Protocol,templates/hooks/block-orchestrator-tools.sh,171,0,,
hook:templates/hooks/clarify-vague-request,hook,hooks,clarify-vague-request.sh,The-Claude-Protocol,templates/hooks/clarify-vague-request.sh,39,0,,
hook:templates/hooks/enforce-bead-for-supervisor,hook,hooks,enforce-bead-for-supervisor.sh,The-Claude-Protocol,templates/hooks/enforce-bead-for-supervisor.sh,32,0,,
hook:templates/hooks/enforce-branch-before-edit,hook,hooks,enforce-branch-before-edit.sh,The-Claude-Protocol,templates/hooks/enforce-branch-before-edit.sh,52,0,,
hook:templates/hooks/enforce-concise-response,hook,hooks,enforce-concise-response.sh,The-Claude-Protocol,templates/hooks/enforce-concise-response.sh,41,0,,
hook:templates/hooks/enforce-sequential-dispatch,hook,hooks,enforce-sequential-dispatch.sh,The-Claude-Protocol,templates/hooks/enforce-sequential-dispatch.sh,63,0,,
hook:templates/hooks/inject-discipline-reminder,hook,hooks,inject-discipline-reminder.sh,The-Claude-Protocol,templates/hooks/inject-discipline-reminder.sh,28,0,,
hook:templates/hooks/log-dispatch-prompt,hook,hooks,log-dispatch-prompt.sh,The-Claude-Protocol,templates/hooks/log-dispatch-prompt.sh,39,0,,
hook:templates/hooks/memory-capture,hook,hooks,memory-capture.sh,The-Claude-Protocol,templates/hooks/memory-capture.sh,104,0,,
hook:templates/hooks/nudge-claude-md-update,hook,hooks,nudge-claude-md-update.sh,The-Claude-Protocol,templates/hooks/nudge-claude-md-update.sh,44,0,,
hook:templates/hooks/remind-inprogress,hook,hooks,remind-inprogress.sh,The-Claude-Protocol,templates/hooks/remind-inprogress.sh,14,0,,
hook:templates/hooks/session-start,hook,hooks,session-start.sh,The-Claude-Protocol,templates/hooks/session-start.sh,121,0,,
hook:templates/hooks/validate-completion,hook,hooks,validate-completion.sh,The-Claude-Protocol,templates/hooks/validate-completion.sh,131,0,,
hook:templates/hooks/validate-epic-close,hook,hooks,validate-epic-close.sh,The-Claude-Protocol,templates/hooks/validate-epic-close.sh,84,0,,
hook:hooks/sdd-cache-post,hook,hooks,sdd-cache-post.sh,agent-skills,hooks/sdd-cache-post.sh,135,0,,
hook:hooks/sdd-cache-pre,hook,hooks,sdd-cache-pre.sh,agent-skills,hooks/sdd-cache-pre.sh,106,0,,
hook:hooks/session-start,hook,hooks,session-start.sh,agent-skills,hooks/session-start.sh,24,0,,
hook:hooks/simplify-ignore,hook,hooks,simplify-ignore.sh,agent-skills,hooks/simplify-ignore.sh,302,0,,
hook:hooks/session-start,hook,hooks,session-start,superpowers,hooks/session-start,49,0,,
